title,type,description,listed_in,cast,director,country,release_year,rating,popularity
Send Help,Movie,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.","Horror, Thriller, Comedy","Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel",Sam Raimi,Unknown,2026,7.041,55.7393
The Avengers,Movie,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!","Science Fiction, Action, Adventure","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",Joss Whedon,Unknown,2012,8.034,55.413
Raja Shivaji,Movie,"Chronicles the rise of young Shivaji Bhonsale, who challenged the might of established empires to found the Maratha kingdom and lay the groundwork for 'Swarajya' (self-rule) during a turbulent period of Indian history.","Action, History, Drama","Riteish Deshmukh, Sanjay Dutt, Abhishek Bachchan, Mahesh Manjrekar, Sachin Khedekar",Riteish Deshmukh,Unknown,2026,9.0,55.0795
Disclosure Day,Movie,"If you found out we weren’t alone, if someone showed you, proved it to you, would that frighten you?","Mystery, Science Fiction, Thriller","Emily Blunt, Josh O'Connor, Colin Firth, Eve Hewson, Colman Domingo",Steven Spielberg,Unknown,2026,0.0,54.4224
The Devil Wears Prada 2,Movie,"Andy Sachs returns to Runway as Miranda Priestly navigates a new media landscape and Runway's position within. The duo reconnect with former assistant Emily Charlton, now the head of a luxury brand that possesses funding which could ensure Runway's survival.","Comedy, Drama","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Kenneth Branagh",David Frankel,Unknown,2026,6.6,53.9372
My Fault,Movie,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.","Drama, Romance, Thriller","Nicole Wallace, Gabriel Guevara, Marta Hazas, Iván Sánchez, Eva Ruiz",Domingo González,Unknown,2023,7.736,53.3579
They Will Kill You,Movie,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.","Action, Comedy, Horror","Zazie Beetz, Myha'la, Patricia Arquette, Paterson Joseph, Heather Graham",Kirill Sokolov,Unknown,2026,7.0,53.1249
Crime 101,Movie,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.","Crime, Thriller","Chris Hemsworth, Mark Ruffalo, Halle Berry, Barry Keoghan, Monica Barbaro",Bart Layton,Unknown,2026,6.983,52.2674
Bosco d'amore,Movie,"The time is the mid-14th century --- the Pope is now residing at Avignon, the Black Death is killing millions across Europe, and civil wars are adding to the turmoil and chaos. In this story adapted from Giovanni Boccaccio's Decameron, a young teenage couple is sent to live in a nearby town by the man's uncle, in an attempt to keep them safe from harm. She is from the lower classes, and he comes from a noble family -- a family that opposes his choice of a future bride. While en route to the town, the couple's horses are stolen and they are forced to continue through the forest on foot -- at a pace that introduces them to a kaleidoscope of Boccaccio's characters, from masters of mysticism, to soldiers of the warring Papal armies. Somehow, the couple manage to get through this gauntlet of sorts, and they do marry. Just as they are ready to go back to Rome, they hear that there is an insurrection in the offing, and suddenly, their brief spate of stability is threatened again.","Drama, Romance","Monica Guerritore, Rodolfo Bigotti, Stanko Molnar, William Berger, Chris Avram",Alberto Bevilacqua,Unknown,1981,4.667,52.1495
Apocalypto,Movie,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.","Action, Drama, History","Rudy Youngblood, Raoul Max Trujillo, Gerardo Taracena, Iazua Larios, Antonio Monroy",Mel Gibson,Unknown,2006,7.628,51.5997
The Drama,Movie,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,"Romance, Comedy, Drama","Zendaya, Robert Pattinson, Mamoudou Athie, Alana Haim, Jordyn Curet",Kristoffer Borgli,Unknown,2026,6.938,51.4812
Avengers: Infinity War,Movie,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Adventure, Action, Science Fiction","Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo",Joe Russo,Unknown,2018,8.236,51.2203
Fifty Shades Freed,Movie,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","Drama, Romance","Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford, Rita Ora",James Foley,Unknown,2018,6.675,50.6839
FROM,TV Show,"Unravel the mystery of a nightmarish town in middle America that traps all those who enter. As the unwilling residents fight to keep a sense of normalcy and search for a way out, they must also survive the threats of the surrounding forest – including the terrifying creatures that come out when the sun goes down.","Mystery, Drama, Sci-Fi & Fantasy","Harold Perrineau, Catalina Sandino Moreno, Ricky He, David Alpay, Chloe Van Landschoot",Unknown,Unknown,2022,8.433,781.7997
Off Campus,TV Show,"Hannah Wells tutors hockey captain Garrett Graham to win over her crush. Their deal becomes real connection as they face their pasts. Friends Logan, Dean, Tucker, and Allie navigate college life and love.",Drama,"Ella Bright, Belmont Cameli, Mika Abdalla, Stephen Kalyn, Jalen Thomas Brooks",Unknown,Unknown,2026,9.076,716.3584
Spider-Noir,TV Show,"Ben Reilly, an aging and down on his luck private investigator in 1930s New York, is forced to grapple with his past life as the city's one and only superhero.","Crime, Drama, Mystery","Nicolas Cage, Lamorne Morris, Li Jun Li, Karen Rodriguez, Abraham Popoola",Unknown,Unknown,2026,8.797,629.6089
