title,type,description,listed_in,cast,director,country,release_year,rating,popularity
The Boys,TV Show,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,"Sci-Fi & Fantasy, Action & Adventure","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Laz Alonso",Unknown,Unknown,2019,8.455,573.4888
Home and Away,TV Show,"Home and Away is set in the fictional town of Summer Bay, a coastal town in New South Wales, and follows the personal and professional lives of the people living in the area. The show initially focused on the Fletcher family, Pippa and Tom Fletcher and their five foster children Frank Morgan, Carly Morris, Steven Matheson, Lynn Davenport and Sally Keating, who would go on to become one of the show's longest-running characters. The show also originally and currently focuses on the Stewart family. Home and Away had proved popular when it premiered in 1988 and had risen to become a hit in Australia, and after only a few weeks, the show tackled its first major and disturbing storyline, the rape of Carly Morris; it was one of the first shows to feature such storylines during the early timeslot. H&A has tackled many adult-themed and controversial storylines; something rarely found in its restricted timeslot.","Drama, Soap","Ray Meagher, Ada Nicodemou, Emily Symons, Shane Withington, James Stewart",Unknown,Unknown,1988,6.3,390.8415
Law & Order: Special Victims Unit,TV Show,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.","Crime, Drama, Mystery","Mariska Hargitay, Ice-T, Kelli Giddish, Peter Scanavino, Aimé Donna Kelly",Unknown,Unknown,1999,7.945,328.6479
The Rookie,TV Show,"Starting over isn't easy, especially for small-town guy John Nolan who, after a life-altering incident, is pursuing his dream of being an LAPD officer. As the force's oldest rookie, he's met with skepticism from some higher-ups who see him as just a walking midlife crisis.","Crime, Drama, Comedy","Nathan Fillion, Melissa O'Neil, Eric Winter, Alyssa Diaz, Mekia Cox",Unknown,Unknown,2018,8.545,290.2135
Law & Order,TV Show,"In cases ripped from the headlines, police investigate serious and often deadly crimes, weighing the evidence and questioning the suspects until someone is taken into custody. The district attorney's office then builds a case to convict the perpetrator by proving the person guilty beyond a reasonable doubt. Working together, these expert teams navigate all sides of the complex criminal justice system to make New York a safer place.","Crime, Drama","Reid Scott, Maura Tierney, Tony Goldwyn, Hugh Dancy, Odelya Halevi",Unknown,Unknown,1990,7.318,288.0094
Grey's Anatomy,TV Show,Follows the personal and professional lives of a group of doctors at Seattle's Grey Sloan Memorial Hospital.,Drama,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Caterina Scorsone, Camilla Luddington",Unknown,Unknown,2005,8.209,285.9021
Euphoria,TV Show,"A group of high school students navigate love and friendships in a world of drugs, sex, trauma, and social media.",Drama,"Zendaya, Hunter Schafer, Sydney Sweeney, Jacob Elordi, Alexa Demie",Unknown,Unknown,2019,8.29,273.4051
Tagesschau,TV Show,"German daily news program, the oldest still existing program on German television.",News,,Unknown,Unknown,1952,6.759,263.9937
Supernatural,TV Show,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ","Drama, Mystery, Sci-Fi & Fantasy","Jared Padalecki, Jensen Ackles, Misha Collins",Unknown,Unknown,2005,8.3,261.8739
NCIS,TV Show,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has any connection to Navy and Marine Corps personnel, regardless of rank or position.","Crime, Drama, Action & Adventure","Sean Murray, Wilmer Valderrama, Katrina Law, Brian Dietzen, Rocky Carroll",Unknown,Unknown,2003,7.621,233.3959
Criminal Minds,TV Show,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.","Crime, Drama, Mystery","Joe Mantegna, Paget Brewster, Adam Rodriguez, Kirsten Vangsness, A.J. Cook",Unknown,Unknown,2005,8.3,225.9944
The Tonight Show Starring Johnny Carson,TV Show,"The Tonight Show Starring Johnny Carson is a talk show hosted by Johnny Carson under The Tonight Show franchise from 1962 to 1992. It originally aired during late-night. For its first ten years, Carson's Tonight Show was based in New York City with occasional trips to Burbank, California; in May 1972, the show moved permanently to Burbank, California. In 2002, The Tonight Show Starring Johnny Carson was ranked #12 on TV Guide's 50 Greatest TV Shows of All Time.",Talk,Johnny Carson,Unknown,Unknown,1962,7.533,224.1423
Game of Thrones,TV Show,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.","Sci-Fi & Fantasy, Drama, Action & Adventure","Peter Dinklage, Kit Harington, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",Unknown,Unknown,2011,8.462,221.3989
Running Man,TV Show,"These days, as variety shows are gradually disappearing, this is one of Korea’s representative variety shows that has been responsible for Sunday evenings for over 10 years. This program features numerous stars and members going around various places, playing games, and completing missions. In particular, among the many fun elements of variety shows, this one focuses solely on laughter.

Open your eyes! Big fun is coming in!

Open your mouth! Big laughter is coming in!

Open your heart! Useful lessons are coming in!","Comedy, Reality","Yoo Jae-suk, Jee Seok-jin, Kim Jong-kook, Haha, Song Ji-hyo",Unknown,Unknown,2010,8.2,217.9629
Family Guy,TV Show,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.","Animation, Comedy","Seth MacFarlane, Alex Borstein, Mila Kunis, Seth Green, Patrick Warburton",Unknown,Unknown,1999,7.399,200.0739
The Mentalist,TV Show,"Patrick Jane, a former celebrity psychic medium, uses his razor sharp skills of observation and expertise at ""reading"" people to solve serious crimes with the California Bureau of Investigation.","Crime, Drama, Mystery","Simon Baker, Robin Tunney, Tim Kang, Rockmond Dunbar, Joe Adler",Unknown,Unknown,2008,8.4,199.4832
Watch What Happens Live with Andy Cohen,TV Show,Bravo network executive Andy Cohen discusses pop culture topics with celebrities and reality show personalities.,"Talk, Comedy",Andy Cohen,Unknown,Unknown,2009,5.0,194.8379
Bones,TV Show,"Dr. Temperance Brennan and her colleagues at the Jeffersonian's Medico-Legal Lab assist Special Agent Seeley Booth with murder investigations when the remains are so badly decomposed, burned or destroyed that the standard identification methods are useless.","Crime, Drama","Emily Deschanel, David Boreanaz, John Boyd, Michaela Conlin, Tamara Taylor",Unknown,Unknown,2005,8.2,178.8927
Berlin and the Lady with an Ermine,TV Show,"Hungry for a new heist, Berlin summons the gang to Seville and turns an ambitious duke into the victim of his own plan: to steal a da Vinci masterpiece.","Drama, Crime, Action & Adventure, Comedy","Pedro Alonso, Michelle Jenner, Tristán Ulloa, Begoña Vargas, Julio Peña",Unknown,Unknown,2026,8.4,178.1466
The Tonight Show Starring Jimmy Fallon,TV Show,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.","Comedy, Talk","Jimmy Fallon, Steve Higgins",Unknown,Unknown,2014,5.86,172.0657
The Simpsons,TV Show,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.","Family, Animation, Comedy","Dan Castellaneta, Julie Kavner, Nancy Cartwright, Yeardley Smith, Hank Azaria",Unknown,Unknown,1989,8.018,170.7895
CSI: Crime Scene Investigation,TV Show,"A Las Vegas team of forensic investigators are trained to solve criminal cases by scouring the crime scene, collecting irrefutable evidence and finding the missing pieces that solve the mystery.","Crime, Drama, Mystery","Ted Danson, George Eads, Jorja Fox, Eric Szmanda, Robert David Hall",Unknown,Unknown,2000,7.637,168.8349
Rick and Morty,TV Show,Follows a sociopathic genius scientist who drags his inherently timid grandson on adventures across the universe.,"Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure","Chris Parnell, Spencer Grammer, Sarah Chalke, Ian Cardoni, Harry Belden",Unknown,Unknown,2013,8.677,165.5936
Yellowstone,TV Show,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.","Western, Drama","Luke Grimes, Kelly Reilly, Wes Bentley, Cole Hauser, Kelsey Asbille",Unknown,Unknown,2018,8.262,165.3128
Breaking Bad,TV Show,"Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.","Drama, Crime","Bryan Cranston, Aaron Paul, Anna Gunn, RJ Mitte, Dean Norris",Unknown,Unknown,2008,8.946,163.0162
